Name Length
protname_2 1470
protname_3 1577
protname_4 1535
protname_5 1646
protname_6 2222
protname_7 2450
protname_8 1558
protname_9 1497
protname_10 3088
protname_11 1617
protname_12 2590
protname_13 3237
protname_14 5474
protname_15 2370
protname_16 4259
protname_17 1441
protname_18 1988
protname_19 1843
protname_20 1388
protname_21 1367
protname_22 2231
protname_23 2450
protname_24 1838
protname_25 2597
protname_26 2344
protname_27 1520
protname_28 1683
protname_29 1321
protname_30 4342
protname_31 2354
protname_32 1346
protname_33 2604
protname_34 2143
protname_35 1773
protname_36 1496
protname_37 1621
protname_38 2878
protname_39 2940
protname_40 1947
protname_41 2176
protname_42 3554
protname_43 1918
protname_44 3039
protname_45 2569
protname_46 2106
protname_47 1977
protname_48 4774
protname_49 2214
protname_50 3141
protname_51 1305
protname_52 1292
protname_53 2337
protname_54 6098
protname_55 1433
protname_56 1962
protname_57 7141
protname_58 1517
protname_59 1539
protname_60 1643
protname_61 2150
protname_62 1466
protname_63 1348
protname_64 1724
protname_65 2512
protname_66 1916
protname_67 1312
protname_68 2982
protname_69 3830
protname_70 2739
protname_71 3976
protname_72 2889
protname_73 1369
protname_74 2282
protname_75 5715
protname_76 1987
protname_77 2293
protname_78 1321
protname_79 2204
protname_80 1439
protname_81 1458
protname_82 2535
protname_83 1726
protname_84 1558
protname_85 1523
protname_86 1615
protname_87 1738
protname_88 6729
protname_89 1626
protname_90 1679
protname_91 1395
protname_92 1512
protname_93 1336
protname_94 3953
protname_95 1669
protname_96 1729
protname_97 1921
protname_98 1886
protname_99 1903
protname_100 1765
