Name Length
protname_2 242
protname_3 485
protname_4 380
protname_5 505
protname_6 680
protname_7 739
protname_8 472
protname_9 59
protname_10 813
protname_11 249
protname_12 768
protname_13 1062
protname_14 1200
protname_15 632
protname_16 1370
protname_17 480
protname_18 510
protname_19 452
protname_20 448
protname_21 435
protname_22 541
protname_23 770
protname_24 563
protname_25 806
protname_26 587
protname_27 388
protname_28 522
protname_29 405
protname_30 1410
protname_31 747
protname_32 424
protname_33 815
protname_34 352
protname_35 535
protname_36 434
protname_37 171
protname_38 916
protname_39 484
protname_40 75
protname_41 631
protname_42 871
protname_43 65
protname_44 780
protname_45 812
protname_46 642
protname_47 573
protname_48 1213
protname_49 430
protname_50 930
protname_51 69
protname_52 362
protname_53 770
protname_54 1918
protname_55 436
protname_56 620
protname_57 2351
protname_58 162
protname_59 350
protname_60 108
protname_61 653
protname_62 156
protname_63 370
protname_64 555
protname_65 537
protname_66 124
protname_67 338
protname_68 225
protname_69 1221
protname_70 821
protname_71 1294
protname_72 876
protname_73 412
protname_74 749
protname_75 1385
protname_76 662
protname_77 171
protname_78 368
protname_79 707
protname_80 423
protname_81 94
protname_82 819
protname_83 464
protname_84 512
protname_85 379
protname_86 510
protname_87 519
protname_88 1510
protname_89 541
protname_90 513
protname_91 62
protname_92 463
protname_93 418
protname_94 883
protname_95 445
protname_96 69
protname_97 594
protname_98 413
protname_99 94
protname_100 508
